food_id,name_en,vernacular_names,category,calories(kcal),protein(g),carbs(g),fats(g),fiber(g),vitamins,minerals,ayurveda_dosha_vata,ayurveda_dosha_pitta,ayurveda_dosha_kapha,ayurveda_rasa,ayurveda_guna,ayurveda_virya,ayurveda_vipaka,health_tags,medical_usage,contraindications,drug_interactions,therapeutic_dosage,preparation_methods,restrictions,growing_regions,storage_shelf_life,,
FW298,Barnyard Millet ,"Sanwa (सांवां), Oodalu (ఊదలు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW299,Proso Millet ,"Chena (चेना), Varigalu (వరిగలు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW300,Flattened Rice (Poha) ,"Poha (पोहा), Atukulu (అటుకులు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Neutral,Neutral,Neutral,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW301,Puffed Rice,"Murmura (मुरमुरा), Borugulu (బొరుగులు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Neutral,Neutral,Neutral,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW302,Semolina Vermicelli ,"Sooji Seviyan (सूजी सेवई), Sooji Semya (సూజీ సేమ్యా)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Neutral,Neutral,Neutral,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW303,Rice (Raw) (147),"Chawal (चावल), Biyyam (బియ్యం)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Neutral,Neutral,Neutral,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW304,Parboiled Rice (148),"Ukda Chawal (उकड़ा चावल), Upma Biyyam (ఉప్మా బియ్యం)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Neutral,Neutral,Neutral,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW305,Brown Rice (149),"Bhura Chawal (भूरा चावल), Brown Biyyam (బ్రౌన్ బియ్యం)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Neutral,Neutral,Neutral,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW306,Basmati Rice (150),"Basmati (बासमती), Basmati Biyyam (బాస్మతి)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Neutral,Neutral,Neutral,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW307,Wheat (151),"Gehu (गेहूँ), Godi (గోధుమ)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Decrease,Neutral,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW308,Atta (Whole Wheat Flour) (152),"Atta (आटा), Godhuma Pindi (గోధుమ పిండి)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Decrease,Neutral,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW309,Sooji / Rava (153),"Rava (रवा/सूजी), Rava (రవ్వ)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Decrease,Neutral,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW310,Maida (154),"Maida (मैदा), Maida (మైదా)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Decrease,Neutral,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW311,Barley (155),"Jau (जौ), Barli (బార్లీ)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW312,Ragi (Finger Millet) (156),"Ragi/Nachni (रागी/नाचनी), Ragi (రాగి)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW313,Jowar (Sorghum) (157),"Jowar (ज्वार), Jonna (జొన్న)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW314,Bajra (Pearl Millet) (158),"Bajra (बाजरा), Sajja (సజ్జ)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW315,Foxtail Millet (159),"Kangni (कंगनी), Korralu (కొర్రలు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW316,Little Millet (160),"Kutki (कुटकी), Samalu (సామలు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW317,Kodo Millet (161),"Kodo (कोदो), Arikelu (ఆరికెలు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW318,Barnyard Millet (162),"Sanwa (सांवां), Oodalu (ఊదలు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW319,Proso Millet (163),"Chena (चेना), Varigalu (వరిగలు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Increase,Decrease,Decrease,Madhura/Kashaya,"Laghu, Ruksha",Ushna,Katu,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW320,Flattened Rice (Poha) (164),"Poha (पोहा), Atukulu (అటుకులు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Neutral,Neutral,Neutral,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW321,Puffed Rice (165),"Murmura (मुरमुरा), Borugulu (బొరుగులు)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Neutral,Neutral,Neutral,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW322,Semolina Vermicelli (166),"Sooji Seviyan (सूजी सेवई), Sooji Semya (సూజీ సేమ్యా)",Grains & Millets,360,8,75,2.5,3.5,"B-vitamins (B1, B3, B6), Iron, Magnesium","Iron, Magnesium, Phosphorus",Neutral,Neutral,Neutral,Madhura,"Guru, Snigdha",Ushna,Madhura,"energy, satiety","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, pressure cook, roti, porridge",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Dry: 6–12 months airtight,,
FW323,Tulsi (Holy Basil),"Tulsi (Holy Basil) (Hindi: जड़ी बूटी), Tulsi (Holy Basil) (Telugu: మూలికలు), Tulsi (Holy Basil) (Tamil: மூலிகைகள்), Tulsi (Holy Basil) (Bengali: ভেষজ), Tulsi (Holy Basil) (Gujarati: વનસ્પતિ), Tulsi (Holy Basil) (Marathi: औषधी वनस्पती), Tulsi (Holy Basil) (Punjabi: ਜੜੀ ਬੂਟੀ), Tulsi (Holy Basil) (Urdu: جڑی بوٹی)",Herbs,50,5,8,1,12,"A, C, E, K, B-complex, Folate","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc, Manganese",Neutral,Neutral,Neutral,"Bitter, Astringent, Pungent","Light, Dry, Cold",Cooling,Bitter,"Traditional Ayurvedic medicine with documented therapeutic properties, Adaptogenic stress reduction and mental clarity enhancement, Natural detoxification and liver cleansing support, Immune system modulation and infection resistance, Respiratory health and breathing improvement, Digestive health and gastric function optimization, Anti-inflammatory and antioxidant cellular protection, Sacred herbs with spiritual and meditation benefits","Traditional Ayurvedic treatment protocols, Stress management and anxiety reduction, Liver detoxification and hepatic function support, Immune system enhancement and infection prevention, Respiratory disorders and lung health improvement, Digestive health optimization and gastric healing, Chronic inflammatory conditions management, Mental health and cognitive function enhancement","Pregnancy and lactation (certain herbs), Individual herb sensitivities, Drug interactions",Consult Ayurvedic practitioners and healthcare providers for safety,"Fresh herbs: 5-15g daily, Dried herbs: 1-5g daily, As per Ayurvedic protocols","Traditional Ayurvedic preparations, herbal teas, decoctions, powders, oils","Pregnancy considerations, individual herb allergies, medical supervision required","Medicinal plant regions across India - Kerala, Karnataka, Himachal Pradesh, Uttarakhand","Fresh herbs: 3-7 days, Dried herbs: 1-3 years properly stored",,
FW324,Mint (Pudina),"Mint (Pudina) (Hindi: जड़ी बूटी), Mint (Pudina) (Telugu: మూలికలు), Mint (Pudina) (Tamil: மூலிகைகள்), Mint (Pudina) (Bengali: ভেষজ), Mint (Pudina) (Gujarati: વનસ્પતિ), Mint (Pudina) (Marathi: औषधी वनस्पती), Mint (Pudina) (Punjabi: ਜੜੀ ਬੂਟੀ), Mint (Pudina) (Urdu: جڑی بوٹی)",Herbs,50,5,8,1,12,"A, C, E, K, B-complex, Folate","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc, Manganese",Neutral,Neutral,Neutral,"Bitter, Astringent, Pungent","Light, Dry, Cold",Cooling,Bitter,"Traditional Ayurvedic medicine with documented therapeutic properties, Adaptogenic stress reduction and mental clarity enhancement, Natural detoxification and liver cleansing support, Immune system modulation and infection resistance, Respiratory health and breathing improvement, Digestive health and gastric function optimization, Anti-inflammatory and antioxidant cellular protection, Sacred herbs with spiritual and meditation benefits","Traditional Ayurvedic treatment protocols, Stress management and anxiety reduction, Liver detoxification and hepatic function support, Immune system enhancement and infection prevention, Respiratory disorders and lung health improvement, Digestive health optimization and gastric healing, Chronic inflammatory conditions management, Mental health and cognitive function enhancement","Pregnancy and lactation (certain herbs), Individual herb sensitivities, Drug interactions",Consult Ayurvedic practitioners and healthcare providers for safety,"Fresh herbs: 5-15g daily, Dried herbs: 1-5g daily, As per Ayurvedic protocols","Traditional Ayurvedic preparations, herbal teas, decoctions, powders, oils","Pregnancy considerations, individual herb allergies, medical supervision required","Medicinal plant regions across India - Kerala, Karnataka, Himachal Pradesh, Uttarakhand","Fresh herbs: 3-7 days, Dried herbs: 1-3 years properly stored",,
FW325,Coriander Leaves,"Coriander Leaves (Hindi: जड़ी बूटी), Coriander Leaves (Telugu: మూలికలు), Coriander Leaves (Tamil: மூலிகைகள்), Coriander Leaves (Bengali: ভেষজ), Coriander Leaves (Gujarati: વનસ્પતિ), Coriander Leaves (Marathi: औषधी वनस्पती), Coriander Leaves (Punjabi: ਜੜੀ ਬੂਟੀ), Coriander Leaves (Urdu: جڑی بوٹی)",Herbs,25,3,8,0.5,12,"A, C, E, K, B-complex, Folate","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc, Manganese",Neutral,Neutral,Neutral,"Bitter, Astringent, Pungent","Light, Dry, Cold",Cooling,Bitter,"Traditional Ayurvedic medicine with documented therapeutic properties, Adaptogenic stress reduction and mental clarity enhancement, Natural detoxification and liver cleansing support, Immune system modulation and infection resistance, Respiratory health and breathing improvement, Digestive health and gastric function optimization, Anti-inflammatory and antioxidant cellular protection, Sacred herbs with spiritual and meditation benefits","Traditional Ayurvedic treatment protocols, Stress management and anxiety reduction, Liver detoxification and hepatic function support, Immune system enhancement and infection prevention, Respiratory disorders and lung health improvement, Digestive health optimization and gastric healing, Chronic inflammatory conditions management, Mental health and cognitive function enhancement","Pregnancy and lactation (certain herbs), Individual herb sensitivities, Drug interactions",Consult Ayurvedic practitioners and healthcare providers for safety,"Fresh herbs: 5-15g daily, Dried herbs: 1-5g daily, As per Ayurvedic protocols","Traditional Ayurvedic preparations, herbal teas, decoctions, powders, oils","Pregnancy considerations, individual herb allergies, medical supervision required","Medicinal plant regions across India - Kerala, Karnataka, Himachal Pradesh, Uttarakhand","Fresh herbs: 3-7 days, Dried herbs: 1-3 years properly stored",,
FW326,Curry Leaves,"Curry Leaves (Hindi: जड़ी बूटी), Curry Leaves (Telugu: మూలికలు), Curry Leaves (Tamil: மூலிகைகள்), Curry Leaves (Bengali: ভেষজ), Curry Leaves (Gujarati: વનસ્પતિ), Curry Leaves (Marathi: औषधी वनस्पती), Curry Leaves (Punjabi: ਜੜੀ ਬੂਟੀ), Curry Leaves (Urdu: جڑی بوٹی)",Herbs,25,3,8,0.5,12,"A, C, E, K, B-complex, Folate","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc, Manganese",Neutral,Neutral,Neutral,"Bitter, Astringent, Pungent","Light, Dry, Cold",Cooling,Bitter,"Traditional Ayurvedic medicine with documented therapeutic properties, Adaptogenic stress reduction and mental clarity enhancement, Natural detoxification and liver cleansing support, Immune system modulation and infection resistance, Respiratory health and breathing improvement, Digestive health and gastric function optimization, Anti-inflammatory and antioxidant cellular protection, Sacred herbs with spiritual and meditation benefits","Traditional Ayurvedic treatment protocols, Stress management and anxiety reduction, Liver detoxification and hepatic function support, Immune system enhancement and infection prevention, Respiratory disorders and lung health improvement, Digestive health optimization and gastric healing, Chronic inflammatory conditions management, Mental health and cognitive function enhancement","Pregnancy and lactation (certain herbs), Individual herb sensitivities, Drug interactions",Consult Ayurvedic practitioners and healthcare providers for safety,"Fresh herbs: 5-15g daily, Dried herbs: 1-5g daily, As per Ayurvedic protocols","Traditional Ayurvedic preparations, herbal teas, decoctions, powders, oils","Pregnancy considerations, individual herb allergies, medical supervision required","Medicinal plant regions across India - Kerala, Karnataka, Himachal Pradesh, Uttarakhand","Fresh herbs: 3-7 days, Dried herbs: 1-3 years properly stored",,
FW327,Fenugreek Leaves,"Methi (Hindi: मेथी), Mentikura (Telugu: మెంతికూర)",Herbs,25,3,8,0.5,12,"A, C, E, K, B-complex, Folate","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc, Manganese",Increase,Decrease,Decrease,"Bitter, Astringent, Pungent","Light, Dry, Cold",Cooling,Bitter,"Traditional Ayurvedic medicine with documented therapeutic properties, Adaptogenic stress reduction and mental clarity enhancement, Natural detoxification and liver cleansing support, Immune system modulation and infection resistance, Respiratory health and breathing improvement, Digestive health and gastric function optimization, Anti-inflammatory and antioxidant cellular protection, Sacred herbs with spiritual and meditation benefits","Traditional Ayurvedic treatment protocols, Stress management and anxiety reduction, Liver detoxification and hepatic function support, Immune system enhancement and infection prevention, Respiratory disorders and lung health improvement, Digestive health optimization and gastric healing, Chronic inflammatory conditions management, Mental health and cognitive function enhancement","Pregnancy and lactation (certain herbs), Individual herb sensitivities, Drug interactions",Consult Ayurvedic practitioners and healthcare providers for safety,"Fresh herbs: 5-15g daily, Dried herbs: 1-5g daily, As per Ayurvedic protocols","Traditional Ayurvedic preparations, herbal teas, decoctions, powders, oils","Pregnancy considerations, individual herb allergies, medical supervision required","Medicinal plant regions across India - Kerala, Karnataka, Himachal Pradesh, Uttarakhand","Fresh herbs: 3-7 days, Dried herbs: 1-3 years properly stored",,
